Year,Province,Division,District,VehicleType,Raw_Count,Cleaned_Count,Change_Type
2018,Punjab,Rawalpindi,Attock,Auto Rickshaws,20383.0,21268,corrected
2022,Punjab,Rawalpindi,Attock,Auto Rickshaws,,22704,inserted (gap-fill)
2018,Punjab,Bahawalpur,Bahawalnagar,Auto Rickshaws,444.0,534,corrected
2022,Punjab,Bahawalpur,Bahawalnagar,Auto Rickshaws,,550,inserted (gap-fill)
2018,Punjab,Bahawalpur,Bahawalpur,Auto Rickshaws,7625.0,8070,corrected
2022,Punjab,Bahawalpur,Bahawalpur,Auto Rickshaws,,9332,inserted (gap-fill)
2018,Punjab,Sargodha,Bhakkar,Auto Rickshaws,22110.0,24012,corrected
2022,Punjab,Sargodha,Bhakkar,Auto Rickshaws,,27268,inserted (gap-fill)
2018,Punjab,Rawalpindi,Chakwal,Auto Rickshaws,13476.0,14902,corrected
2022,Punjab,Rawalpindi,Chakwal,Auto Rickshaws,,19591,inserted (gap-fill)
2018,Punjab,Faisalabad,Chiniot,Auto Rickshaws,10153.0,11009,corrected
2022,Punjab,Faisalabad,Chiniot,Auto Rickshaws,,15526,inserted (gap-fill)
2018,Punjab,D.G.Khan,D.G.Khan,Auto Rickshaws,638.0,642,corrected
2022,Punjab,D.G.Khan,D.G.Khan,Auto Rickshaws,,654,inserted (gap-fill)
2018,Punjab,Faisalabad,Faisalabad,Auto Rickshaws,22152.0,23168,corrected
2022,Punjab,Faisalabad,Faisalabad,Auto Rickshaws,,24086,inserted (gap-fill)
2018,Punjab,Gujranwala,Gujranwala,Auto Rickshaws,15715.0,17306,corrected
2022,Punjab,Gujranwala,Gujranwala,Auto Rickshaws,,15164,inserted (gap-fill)
2018,Punjab,Gujranwala,Gujrat,Auto Rickshaws,11569.0,12130,corrected
2022,Punjab,Gujranwala,Gujrat,Auto Rickshaws,,12205,inserted (gap-fill)
2018,Punjab,Gujranwala,Hafizabad,Auto Rickshaws,186.0,232,corrected
2022,Punjab,Gujranwala,Hafizabad,Auto Rickshaws,,331,inserted (gap-fill)
2018,Punjab,Faisalabad,Jhang,Auto Rickshaws,15052.0,16337,corrected
2022,Punjab,Faisalabad,Jhang,Auto Rickshaws,,20300,inserted (gap-fill)
2018,Punjab,Rawalpindi,Jhelum,Auto Rickshaws,14724.0,16093,corrected
2022,Punjab,Rawalpindi,Jhelum,Auto Rickshaws,,20336,inserted (gap-fill)
2018,Punjab,Lahore,Kasur,Auto Rickshaws,369.0,374,corrected
2022,Punjab,Lahore,Kasur,Auto Rickshaws,,414,inserted (gap-fill)
2018,Punjab,Multan,Khanewal,Auto Rickshaws,595.0,613,corrected
2022,Punjab,Multan,Khanewal,Auto Rickshaws,,590,inserted (gap-fill)
2018,Punjab,Sargodha,Khushab,Auto Rickshaws,11730.0,12577,corrected
2022,Punjab,Sargodha,Khushab,Auto Rickshaws,,15524,inserted (gap-fill)
2018,Punjab,Lahore,Lahore,Auto Rickshaws,180296.0,185622,corrected
2022,Punjab,Lahore,Lahore,Auto Rickshaws,,221960,inserted (gap-fill)
2018,Punjab,D.G.Khan,Layyah,Auto Rickshaws,7263.0,8114,corrected
2022,Punjab,D.G.Khan,Layyah,Auto Rickshaws,,11007,inserted (gap-fill)
2018,Punjab,Multan,Lodhran,Auto Rickshaws,385.0,443,corrected
2022,Punjab,Multan,Lodhran,Auto Rickshaws,,674,inserted (gap-fill)
2018,Punjab,Gujranwala,M.B.Din,Auto Rickshaws,2470.0,2936,corrected
