Year,Province,Division,District,VehicleType,Class,Count
2015,Punjab,Rawalpindi,Attock,Motor Cycles/Scooters,2W,76669
2015,Punjab,Rawalpindi,Attock,Auto Rickshaws,3W,13689
2015,Punjab,Rawalpindi,Attock,Motor Cars/Jeeps/Station Wagons,4W1,5573
2015,Punjab,Rawalpindi,Attock,Motor Cars/Jeeps/Station Wagons,4W2,984
2015,Punjab,Rawalpindi,Attock,Taxis,4WT,100
2015,Punjab,Rawalpindi,Attock,Mini Buses/Buses/Flying/Luxury Coaches,BUS,160
2015,Punjab,Rawalpindi,Attock,Trucks,HDV,454
2015,Punjab,Rawalpindi,Attock,Pickups/Delivery Vans,LDV,6098
2015,Punjab,Rawalpindi,Attock,Tractors,NRV,9524
2015,Punjab,Bahawalpur,Bahawalnagar,Motor Cycles/Scooters,2W,236387
2015,Punjab,Bahawalpur,Bahawalnagar,Auto Rickshaws,3W,627
2015,Punjab,Bahawalpur,Bahawalnagar,Motor Cars/Jeeps/Station Wagons,4W1,2270
2015,Punjab,Bahawalpur,Bahawalnagar,Motor Cars/Jeeps/Station Wagons,4W2,400
2015,Punjab,Bahawalpur,Bahawalnagar,Taxis,4WT,186
2015,Punjab,Bahawalpur,Bahawalnagar,Mini Buses/Buses/Flying/Luxury Coaches,BUS,213
2015,Punjab,Bahawalpur,Bahawalnagar,Trucks,HDV,78
2015,Punjab,Bahawalpur,Bahawalnagar,Pickups/Delivery Vans,LDV,363
2015,Punjab,Bahawalpur,Bahawalnagar,Tractors,NRV,32600
2015,Punjab,Bahawalpur,Bahawalpur,Motor Cycles/Scooters,2W,375230
2015,Punjab,Bahawalpur,Bahawalpur,Auto Rickshaws,3W,5994
2015,Punjab,Bahawalpur,Bahawalpur,Motor Cars/Jeeps/Station Wagons,4W1,14723
2015,Punjab,Bahawalpur,Bahawalpur,Motor Cars/Jeeps/Station Wagons,4W2,2598
2015,Punjab,Bahawalpur,Bahawalpur,Taxis,4WT,3419
2015,Punjab,Bahawalpur,Bahawalpur,Mini Buses/Buses/Flying/Luxury Coaches,BUS,1059
2015,Punjab,Bahawalpur,Bahawalpur,Trucks,HDV,504
2015,Punjab,Bahawalpur,Bahawalpur,Pickups/Delivery Vans,LDV,3984
2015,Punjab,Bahawalpur,Bahawalpur,Tractors,NRV,26845
2015,Punjab,Sargodha,Bhakkar,Motor Cycles/Scooters,2W,92821
2015,Punjab,Sargodha,Bhakkar,Auto Rickshaws,3W,12923
2015,Punjab,Sargodha,Bhakkar,Motor Cars/Jeeps/Station Wagons,4W1,1243
2015,Punjab,Sargodha,Bhakkar,Motor Cars/Jeeps/Station Wagons,4W2,219
2015,Punjab,Sargodha,Bhakkar,Taxis,4WT,68
2015,Punjab,Sargodha,Bhakkar,Mini Buses/Buses/Flying/Luxury Coaches,BUS,244
2015,Punjab,Sargodha,Bhakkar,Trucks,HDV,33
2015,Punjab,Sargodha,Bhakkar,Pickups/Delivery Vans,LDV,272
2015,Punjab,Sargodha,Bhakkar,Tractors,NRV,9373
2015,Punjab,Rawalpindi,Chakwal,Motor Cycles/Scooters,2W,78422
2015,Punjab,Rawalpindi,Chakwal,Auto Rickshaws,3W,8270
2015,Punjab,Rawalpindi,Chakwal,Motor Cars/Jeeps/Station Wagons,4W1,4039
2015,Punjab,Rawalpindi,Chakwal,Motor Cars/Jeeps/Station Wagons,4W2,713
2015,Punjab,Rawalpindi,Chakwal,Taxis,4WT,99
