Year,Province,Division,District,VehicleType,Count
2015,Punjab,Rawalpindi,Attock,Auto Rickshaws,13689
2015,Punjab,Rawalpindi,Attock,Mini Buses/Buses/Flying/Luxury Coaches,160
2015,Punjab,Rawalpindi,Attock,Motor Cars/Jeeps/Station Wagons,6557
2015,Punjab,Rawalpindi,Attock,Motor Cycles/Scooters,76669
2015,Punjab,Rawalpindi,Attock,Other Vehicles,47
2015,Punjab,Rawalpindi,Attock,Pickups/Delivery Vans,6098
2015,Punjab,Rawalpindi,Attock,Taxis,100
2015,Punjab,Rawalpindi,Attock,Tractors,9524
2015,Punjab,Rawalpindi,Attock,Trucks,454
2015,Punjab,Bahawalpur,Bahawalnagar,Auto Rickshaws,627
2015,Punjab,Bahawalpur,Bahawalnagar,Mini Buses/Buses/Flying/Luxury Coaches,213
2015,Punjab,Bahawalpur,Bahawalnagar,Motor Cars/Jeeps/Station Wagons,2670
2015,Punjab,Bahawalpur,Bahawalnagar,Motor Cycles/Scooters,236387
2015,Punjab,Bahawalpur,Bahawalnagar,Other Vehicles,141
2015,Punjab,Bahawalpur,Bahawalnagar,Pickups/Delivery Vans,363
2015,Punjab,Bahawalpur,Bahawalnagar,Taxis,186
2015,Punjab,Bahawalpur,Bahawalnagar,Tractors,32600
2015,Punjab,Bahawalpur,Bahawalnagar,Trucks,78
2015,Punjab,Bahawalpur,Bahawalpur,Auto Rickshaws,5994
2015,Punjab,Bahawalpur,Bahawalpur,Mini Buses/Buses/Flying/Luxury Coaches,1059
2015,Punjab,Bahawalpur,Bahawalpur,Motor Cars/Jeeps/Station Wagons,17321
2015,Punjab,Bahawalpur,Bahawalpur,Motor Cycles/Scooters,375230
2015,Punjab,Bahawalpur,Bahawalpur,Other Vehicles,138
2015,Punjab,Bahawalpur,Bahawalpur,Pickups/Delivery Vans,3984
2015,Punjab,Bahawalpur,Bahawalpur,Taxis,3419
2015,Punjab,Bahawalpur,Bahawalpur,Tractors,26845
2015,Punjab,Bahawalpur,Bahawalpur,Trucks,504
2015,Punjab,Sargodha,Bhakkar,Auto Rickshaws,12923
2015,Punjab,Sargodha,Bhakkar,Mini Buses/Buses/Flying/Luxury Coaches,244
2015,Punjab,Sargodha,Bhakkar,Motor Cars/Jeeps/Station Wagons,1462
2015,Punjab,Sargodha,Bhakkar,Motor Cycles/Scooters,92821
2015,Punjab,Sargodha,Bhakkar,Other Vehicles,36
2015,Punjab,Sargodha,Bhakkar,Pickups/Delivery Vans,272
2015,Punjab,Sargodha,Bhakkar,Taxis,68
2015,Punjab,Sargodha,Bhakkar,Tractors,9373
2015,Punjab,Sargodha,Bhakkar,Trucks,33
2015,Punjab,Rawalpindi,Chakwal,Auto Rickshaws,8270
2015,Punjab,Rawalpindi,Chakwal,Mini Buses/Buses/Flying/Luxury Coaches,237
2015,Punjab,Rawalpindi,Chakwal,Motor Cars/Jeeps/Station Wagons,4752
2015,Punjab,Rawalpindi,Chakwal,Motor Cycles/Scooters,78422
2015,Punjab,Rawalpindi,Chakwal,Other Vehicles,28
2015,Punjab,Rawalpindi,Chakwal,Pickups/Delivery Vans,4310
2015,Punjab,Rawalpindi,Chakwal,Taxis,99
2015,Punjab,Rawalpindi,Chakwal,Tractors,7449
2015,Punjab,Rawalpindi,Chakwal,Trucks,124
2015,Punjab,Faisalabad,Chiniot,Auto Rickshaws,5429
2015,Punjab,Faisalabad,Chiniot,Mini Buses/Buses/Flying/Luxury Coaches,0
2015,Punjab,Faisalabad,Chiniot,Motor Cars/Jeeps/Station Wagons,161
2015,Punjab,Faisalabad,Chiniot,Motor Cycles/Scooters,36756
2015,Punjab,Faisalabad,Chiniot,Other Vehicles,217
2015,Punjab,Faisalabad,Chiniot,Pickups/Delivery Vans,397
2015,Punjab,Faisalabad,Chiniot,Taxis,0
2015,Punjab,Faisalabad,Chiniot,Tractors,889
2015,Punjab,Faisalabad,Chiniot,Trucks,43
2015,Punjab,D.G.Khan,D.G.Khan,Auto Rickshaws,580
2015,Punjab,D.G.Khan,D.G.Khan,Mini Buses/Buses/Flying/Luxury Coaches,202
2015,Punjab,D.G.Khan,D.G.Khan,Motor Cars/Jeeps/Station Wagons,7198
